state,gender,year,name,number
NY,M,1941,Robert,6563
PA,F,1920,Mary,7650
NY,M,1960,Michael,8928
NY,M,1953,Robert,9063
CA,M,1972,Michael,6345
CA,M,2007,Daniel,3869
CA,M,1977,Michael,6322
CA,M,1997,Daniel,4453
NY,M,1950,Robert,8627
CA,M,1968,Michael,8081
CA,M,1970,Michael,8196
CA,M,1976,Michael,6181
CA,M,1992,Michael,6639
PA,F,1919,Mary,7428
PA,F,1922,Mary,7302
NY,M,1963,Michael,9241
CA,F,1994,Jessica,5306
CA,F,2017,Emma,2740
CA,M,1998,Daniel,4318
CA,M,1969,Michael,8247
CA,M,1988,Michael,7761
NY,M,1954,Robert,8912
CA,M,1979,Michael,6587
NY,M,1935,Robert,5762
CA,M,1999,Daniel,4354
PA,F,1912,Mary,4106
PA,M,1926,John,6646
NY,M,1956,Michael,8708
CA,M,1990,Michael,8246
CA,F,2016,Mia,2800
PA,F,1911,Mary,3188
NY,M,1930,John,6239
NY,M,1944,Robert,7225
CA,F,2013,Sophia,3468
CA,M,2000,Daniel,4342
CA,M,1993,Michael,5847
CA,M,1981,Michael,7150
NY,M,1932,John,5873
NY,M,1957,Michael,9115
CA,M,2009,Daniel,3394
PA,F,1916,Mary,7730
CA,F,2012,Sophia,3644
NY,M,1937,Robert,6530
NY,M,1940,Robert,6283
CA,M,1985,Michael,7216
NY,M,1936,Robert,6121
CA,F,2010,Isabella,3370
CA,M,2002,Daniel,4132
PA,F,1917,Mary,7988
PA,M,1923,John,7211
NY,M,1952,Robert,9220
CA,M,2020,Noah,2608
NY,M,1942,Robert,7663
CA,M,2001,Daniel,4165
PA,F,1910,Mary,2913
CA,M,1974,Michael,6061
NY,M,1965,Michael,8671
CA,M,1986,Michael,7261
CA,M,1975,Michael,6215
PA,F,1914,Mary,5981
PA,F,1921,Mary,7772
CA,M,2003,Daniel,4033
NY,M,1933,John,5710
NY,M,1966,Michael,8547
CA,F,2015,Sophia,2956
NY,M,1934,Robert,5591
NY,M,1943,Robert,7922
CA,F,2018,Emma,2743
PA,M,1924,John,7262
PA,M,1927,John,6685
NY,M,1939,Robert,6115
CA,M,2006,Daniel,3830
NY,M,1946,Robert,9296
NY,M,1962,Michael,8866
NY,M,1931,Robert,5952
NY,M,1958,Michael,9212
PA,F,1918,Mary,8184
PA,F,1913,Mary,4739
NY,M,1947,Robert,10025
CA,M,1978,Michael,6491
CA,M,1982,Michael,7160
CA,M,1973,Michael,5880
NY,M,1948,Robert,9010
CA,M,2008,Daniel,3754
NY,M,1971,Michael,6839
PA,M,1925,John,6938
CA,M,1995,Daniel,5004
CA,M,1996,Daniel,4704
NY,M,1938,Robert,6477
CA,M,1987,Michael,7453
CA,M,1984,Michael,7478
NY,M,1949,Robert,8851
CA,M,1989,Michael,7857
CA,M,2005,Daniel,3914
CA,F,2011,Sophia,3569
CA,M,1980,Michael,6909
CA,M,2019,Noah,2674
CA,M,1991,Michael,7572
NY,M,1955,Robert,8813
CA,M,1983,Michael,7398
CA,F,2014,Sophia,3182
NY,M,1959,John,8713
NY,M,1951,Robert,9055
NY,M,1961,Michael,9054
CA,M,2004,Daniel,4170
NY,M,1964,John,8894
NY,M,1928,John,6353
NY,M,1929,John,6253
PA,F,1915,Mary,7970
NY,M,1945,Robert,7607
NY,M,1967,Michael,8193
